d(0, 0) = 0
d(1, 1) = 1.41421356237
d(2, 2) = 2.82842712475
d(3, 3) = 4.24264068712
d(4, 4) = 5.65685424949
d(5, 5) = 7.07106781187
d(6, 6) = 8.48528137424
d(7, 7) = 9.89949493661
d(8, 8) = 11.313708499
d(9, 9) = 12.7279220614
d(10, 10) = 14.1421356237
d(11, 11) = 15.5563491861
d(12, 12) = 16.9705627485
d(13, 13) = 18.3847763109
d(14, 14) = 19.7989898732
d(15, 15) = 21.2132034356
d(16, 16) = 22.627416998
d(17, 17) = 24.0416305603
d(18, 18) = 25.4558441227
d(19, 19) = 26.8700576851
d(20, 20) = 28.2842712475
d(21, 21) = 29.6984848098
d(22, 22) = 31.1126983722
d(23, 23) = 32.5269119346
d(24, 24) = 33.941125497
d(25, 25) = 35.3553390593
d(26, 26) = 36.7695526217
d(27, 27) = 38.1837661841
d(28, 28) = 39.5979797464
d(29, 29) = 41.0121933088
d(30, 30) = 42.4264068712
d(31, 31) = 43.8406204336
d(32, 32) = 45.2548339959
d(33, 33) = 46.6690475583
d(34, 34) = 48.0832611207
d(35, 35) = 49.4974746831
d(36, 36) = 50.9116882454
d(37, 37) = 52.3259018078
d(38, 38) = 53.7401153702
d(39, 39) = 55.1543289326
d(40, 40) = 56.5685424949
d(41, 41) = 57.9827560573
d(42, 42) = 59.3969696197
d(43, 43) = 60.811183182
d(44, 44) = 62.2253967444
d(45, 45) = 63.6396103068
d(46, 46) = 65.0538238692
d(47, 47) = 66.4680374315
d(48, 48) = 67.8822509939
d(49, 49) = 69.2964645563
d(50, 50) = 70.7106781187
d(51, 51) = 72.124891681
d(52, 52) = 73.5391052434
d(53, 53) = 74.9533188058
d(54, 54) = 76.3675323681
d(55, 55) = 77.7817459305
d(56, 56) = 79.1959594929
d(57, 57) = 80.6101730553
d(58, 58) = 82.0243866176
d(59, 59) = 83.43860018
d(60, 60) = 84.8528137424
d(61, 61) = 86.2670273048
d(62, 62) = 87.6812408671
d(63, 63) = 89.0954544295
d(64, 64) = 90.5096679919
d(65, 65) = 91.9238815543
d(66, 66) = 93.3380951166
d(67, 67) = 94.752308679
d(68, 68) = 96.1665222414
d(69, 69) = 97.5807358037
d(70, 70) = 98.9949493661
d(71, 71) = 100.409162928
d(72, 72) = 101.823376491
d(73, 73) = 103.237590053
d(74, 74) = 104.651803616
d(75, 75) = 106.066017178
d(76, 76) = 107.48023074
d(77, 77) = 108.894444303
d(78, 78) = 110.308657865
d(79, 79) = 111.722871427
d(80, 80) = 113.13708499
d(81, 81) = 114.551298552
d(82, 82) = 115.965512115
d(83, 83) = 117.379725677
d(84, 84) = 118.793939239
d(85, 85) = 120.208152802
d(86, 86) = 121.622366364
d(87, 87) = 123.036579926
d(88, 88) = 124.450793489
d(89, 89) = 125.865007051
d(90, 90) = 127.279220614
d(91, 91) = 128.693434176
d(92, 92) = 130.107647738
d(93, 93) = 131.521861301
d(94, 94) = 132.936074863
d(95, 95) = 134.350288425
d(96, 96) = 135.764501988
d(97, 97) = 137.17871555
d(98, 98) = 138.592929113
d(99, 99) = 140.007142675
d(100, 100) = 141.421356237
d(101, 101) = 142.8355698
d(102, 102) = 144.249783362
d(103, 103) = 145.663996924
d(104, 104) = 147.078210487
d(105, 105) = 148.492424049
d(106, 106) = 149.906637612
d(107, 107) = 151.320851174
d(108, 108) = 152.735064736
d(109, 109) = 154.149278299
d(110, 110) = 155.563491861
d(111, 111) = 156.977705423
d(112, 112) = 158.391918986
d(113, 113) = 159.806132548
d(114, 114) = 161.220346111
d(115, 115) = 162.634559673
d(116, 116) = 164.048773235
d(117, 117) = 165.462986798
d(118, 118) = 166.87720036
d(119, 119) = 168.291413922
d(120, 120) = 169.705627485
d(121, 121) = 171.119841047
d(122, 122) = 172.53405461
d(123, 123) = 173.948268172
d(124, 124) = 175.362481734
d(125, 125) = 176.776695297
d(126, 126) = 178.190908859
d(127, 127) = 179.605122421
d(128, 128) = 181.019335984
d(129, 129) = 182.433549546
d(130, 130) = 183.847763109
d(131, 131) = 185.261976671
d(132, 132) = 186.676190233
d(133, 133) = 188.090403796
d(134, 134) = 189.504617358
d(135, 135) = 190.91883092
d(136, 136) = 192.333044483
d(137, 137) = 193.747258045
d(138, 138) = 195.161471607
d(139, 139) = 196.57568517
d(140, 140) = 197.989898732
d(141, 141) = 199.404112295
d(142, 142) = 200.818325857
d(143, 143) = 202.232539419
d(144, 144) = 203.646752982
d(145, 145) = 205.060966544
d(146, 146) = 206.475180106
d(147, 147) = 207.889393669
d(148, 148) = 209.303607231
d(149, 149) = 210.717820794
d(150, 150) = 212.132034356
d(151, 151) = 213.546247918
d(152, 152) = 214.960461481
d(153, 153) = 216.374675043
d(154, 154) = 217.788888605
d(155, 155) = 219.203102168
d(156, 156) = 220.61731573
d(157, 157) = 222.031529293
d(158, 158) = 223.445742855
d(159, 159) = 224.859956417
d(160, 160) = 226.27416998
d(161, 161) = 227.688383542
d(162, 162) = 229.102597104
d(163, 163) = 230.516810667
d(164, 164) = 231.931024229
d(165, 165) = 233.345237792
d(166, 166) = 234.759451354
d(167, 167) = 236.173664916
d(168, 168) = 237.587878479
d(169, 169) = 239.002092041
d(170, 170) = 240.416305603
d(171, 171) = 241.830519166
d(172, 172) = 243.244732728
d(173, 173) = 244.658946291
d(174, 174) = 246.073159853
d(175, 175) = 247.487373415
d(176, 176) = 248.901586978
d(177, 177) = 250.31580054
d(178, 178) = 251.730014102
d(179, 179) = 253.144227665
d(180, 180) = 254.558441227
d(181, 181) = 255.97265479
d(182, 182) = 257.386868352
d(183, 183) = 258.801081914
d(184, 184) = 260.215295477
d(185, 185) = 261.629509039
d(186, 186) = 263.043722601
d(187, 187) = 264.457936164
d(188, 188) = 265.872149726
d(189, 189) = 267.286363289
d(190, 190) = 268.700576851
d(191, 191) = 270.114790413
d(192, 192) = 271.529003976
d(193, 193) = 272.943217538
d(194, 194) = 274.3574311
d(195, 195) = 275.771644663
d(196, 196) = 277.185858225
d(197, 197) = 278.600071787
d(198, 198) = 280.01428535
d(199, 199) = 281.428498912
d(200, 200) = 282.842712475
d(201, 201) = 284.256926037
d(202, 202) = 285.671139599
d(203, 203) = 287.085353162
d(204, 204) = 288.499566724
d(205, 205) = 289.913780286
d(206, 206) = 291.327993849
d(207, 207) = 292.742207411
d(208, 208) = 294.156420974
d(209, 209) = 295.570634536
